panel,level,method,model,n_total,n_success,n_failed,skeleton_f1_mean,skeleton_f1_std,skeleton_f1_ci95_low,skeleton_f1_ci95_high,directed_f1_mean,directed_f1_std,directed_f1_ci95_low,directed_f1_ci95_high,dag_shd_mean,dag_shd_std,dag_shd_ci95_low,dag_shd_ci95_high,efficiency_mean,efficiency_std,efficiency_ci95_low,efficiency_ci95_high,submit_directed_mean,submit_undirected_mean,interventions_used_mean,total_actions_mean,stats_actions_mean,intervene_actions_mean,submit_actions_mean,sanitized_overlap_count_mean
active,3,llm_stats,claude-sonnet-4-6,8,8,0,0.46940881615804214,0.12907925184077754,0.3799614581566842,0.5588561741594,0.2873667998667998,0.17250645425671762,0.16782592593549528,0.40690767379810433,12.625,3.583194903195431,10.141972613924688,15.108027386075312,1.0,0.0,1.0,1.0,3.25,6.75,0.0,6.75,5.75,0.0,1.0,0.0
active,3,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,3,pc_greedy,baseline,8,8,0,0.6504120879120878,0.07803289440955809,0.5963380508953278,0.7044861249288479,0.4885531135531136,0.17379770949056883,0.3681174453963522,0.6089887817098749,5.75,1.2817398889233114,4.861799572168533,6.638200427831467,0.8125,0.25877458475338283,0.6331783615957071,0.9918216384042929,4.125,0.25,1.875,0.0,0.0,0.0,0.0,0.0
active,4,llm_raw,claude-sonnet-4-6,8,8,0,0.6393356643356642,0.13867114479053874,0.5432414636360986,0.7354298650352299,0.336013986013986,0.24998242953981317,0.16278500033099763,0.5092429716969744,5.5,1.7728105208558367,4.2715049857651035,6.7284950142348965,1.0,0.0,1.0,1.0,4.875,0.0,0.25,1.25,0.0,0.25,1.0,0.0
active,4,llm_stats,claude-sonnet-4-6,8,8,0,0.7068993506493506,0.14885105677783203,0.6037508308476496,0.8100478704510516,0.26501623376623373,0.23040890433713954,0.10535100903773095,0.4246814584947365,6.75,2.3754698783308417,5.103883357717321,8.396116642282678,1.0,0.0,1.0,1.0,4.0,2.625,0.0,1.5,0.5,0.0,1.0,0.0
active,4,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,4,pc_greedy,baseline,8,8,0,0.6541666666666666,0.08345229603962802,0.5963371759201626,0.7119961574131706,0.4652777777777778,0.21450385721917625,0.3166341883880343,0.6139213671675212,4.0,1.0690449676496976,3.2591896329019145,4.740810367098085,1.0,0.0,1.0,1.0,3.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0
active,5,llm_raw,claude-sonnet-4-6,8,8,0,0.4349040159542078,0.1406867101617106,0.33741309971159933,0.5323949321968163,0.3188984289367921,0.20343210942202347,0.1779271693350635,0.4598696885385207,10.375,3.2923070504261465,8.093547611717483,12.656452388282517,1.0,0.0,1.0,1.0,7.625,0.0,0.75,1.75,0.0,0.75,1.0,0.0
active,5,llm_stats,claude-sonnet-4-6,8,8,0,0.5066789215686274,0.14085366570399568,0.40907231103783454,0.6042855320994202,0.23498931623931624,0.1828569704709467,0.10827590050822625,0.36170273197040625,12.5,3.8172540616821107,9.854777892123234,15.145222107876766,1.0,0.0,1.0,1.0,4.0,6.25,0.0,3.5,2.5,0.0,1.0,0.125
active,5,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,5,pc_greedy,baseline,8,8,0,0.4688061938061938,0.1305079435169929,0.37836880298380876,0.5592435846285789,0.15247668997668995,0.14230172285833945,0.053866627033182624,0.2510867529201973,8.25,1.0350983390135313,7.532713446382828,8.967286553617171,1.0,0.0,1.0,1.0,2.5,0.5,1.375,0.0,0.0,0.0,0.0,0.0
observational,0,llm_raw_obs,claude-sonnet-4-6,8,8,0,0.7069444444444444,0.11936597644039815,0.6242280428881644,0.7896608460007244,0.26944444444444443,0.2972982397967458,0.06342727507724322,0.47546161381164564,4.625,1.3024701806293193,3.722434212924066,5.527565787075934,1.0,0.0,1.0,1.0,4.125,0.0,0.0,1.0,0.0,0.0,1.0,0.0
observational,0,llm_stats_obs,claude-sonnet-4-6,8,8,0,0.6865530303030303,0.13731853611971753,0.5913961395916254,0.7817099210144351,0.2465277777777778,0.26744162362253066,0.06120018785544665,0.4318553677001089,4.625,1.5059406173077154,3.58143639388871,5.66856360611129,1.0,0.0,1.0,1.0,2.5,1.125,0.0,2.75,1.75,0.0,1.0,0.0
observational,0,pc,baseline,8,8,0,0.7971230158730159,0.11419508366291012,0.7179898601975312,0.8762561715485007,0.13888888888888887,0.2639410975923157,-0.04401296025363097,0.3217907380314087,4.375,1.1877349391654208,3.5519416788586606,5.198058321141339,1.0,0.0,1.0,1.0,1.25,2.125,0.0,0.0,0.0,0.0,0.0,0.0
observational,1,llm_raw_obs,claude-sonnet-4-6,8,8,0,0.5875291375291376,0.19921887347412495,0.44947750148271703,0.7255807735755582,0.3488636363636364,0.20673075075030595,0.20560653494301565,0.49212073778425713,5.875,2.100170061141308,4.419656397959574,7.330343602040426,1.0,0.0,1.0,1.0,4.875,0.125,0.0,1.0,0.0,0.0,1.0,0.0
observational,1,llm_stats_obs,claude-sonnet-4-6,8,8,0,0.5891254578754579,0.1382238114890225,0.49334124333862583,0.68490967241229,0.14027777777777778,0.20769478862132904,-0.003647367804445578,0.28420292336000114,8.125,1.6420805617960927,6.987096225509379,9.26290377449062,1.0,0.0,1.0,1.0,1.125,5.5,0.0,3.0,2.0,0.0,1.0,0.0
observational,1,pc,baseline,8,8,0,0.6875,0.10828753610730314,0.612460565922532,0.762539434077468,0.2375,0.2183542338233253,0.08618823575147902,0.38881176424852093,5.125,0.9910312089651149,4.438250409537799,5.811749590462201,1.0,0.0,1.0,1.0,1.75,1.625,0.0,0.0,0.0,0.0,0.0,0.0
observational,2,llm_raw_obs,claude-sonnet-4-6,8,8,0,0.635526973026973,0.18539605095338005,0.5070540642893182,0.7639998817646279,0.3928446553446554,0.28071194538256655,0.19832120160737646,0.5873681090819344,5.5,1.927248223318863,4.164485118016277,6.835514881983723,1.0,0.0,1.0,1.0,5.625,0.0,0.0,1.0,0.0,0.0,1.0,0.0
observational,2,llm_stats_obs,claude-sonnet-4-6,8,8,0,0.6309523809523809,0.23749925408642858,0.46637379452294564,0.7955309673818163,0.0625,0.1767766952966369,-0.059999999999999984,0.185,8.375,1.7677669529663689,7.15,9.6,1.0,0.0,1.0,1.0,0.75,6.5,0.0,2.5,1.5,0.0,1.0,0.0
observational,2,pc,baseline,8,8,0,0.46726190476190477,0.1259479764671036,0.37998440989002435,0.5545393996337852,0.03125,0.08838834764831845,-0.029999999999999992,0.0925,5.875,0.3535533905932738,5.63,6.12,1.0,0.0,1.0,1.0,0.25,1.625,0.0,0.0,0.0,0.0,0.0,0.0
observational,3,llm_raw_obs,claude-sonnet-4-6,8,8,0,0.44608210697282946,0.11031328044277101,0.3696389036899331,0.5225253102557259,0.3384676137808289,0.22098269936126477,0.18533441584243562,0.4916008117192222,13.0,1.1952286093343936,12.171748830366054,13.828251169633946,1.0,0.0,1.0,1.0,10.25,1.75,0.0,1.0,0.0,0.0,1.0,0.0
observational,3,llm_stats_obs,claude-sonnet-4-6,8,8,0,0.5378588516746411,0.17968465043002313,0.41334374157632153,0.6623739617729607,0.109375,0.2052600702245116,-0.032862971811327524,0.2516129718113275,15.875,6.010407640085654,11.71,20.04,1.0,0.0,1.0,1.0,1.25,12.875,0.0,2.75,1.75,0.0,1.0,0.0
observational,3,pc,baseline,8,8,0,0.6504120879120878,0.07803289440955809,0.5963380508953278,0.7044861249288479,0.17234848484848483,0.20310741896589415,0.03160222425360551,0.31309474544336413,8.0,1.1952286093343936,7.171748830366054,8.828251169633946,1.0,0.0,1.0,1.0,1.25,3.125,0.0,0.0,0.0,0.0,0.0,0.0
observational,4,llm_raw_obs,claude-sonnet-4-6,8,8,0,0.5992424242424241,0.1338611159872195,0.5064814034476975,0.6920034450371507,0.4170454545454545,0.22003742839285914,0.26456729596864326,0.5695236131222657,5.375,1.8468119248354136,4.095224629085244,6.654775370914756,1.0,0.0,1.0,1.0,4.875,0.0,0.0,1.0,0.0,0.0,1.0,0.0
observational,4,llm_stats_obs,claude-sonnet-4-6,8,8,0,0.6492424242424242,0.15666151699274225,0.5406815316462154,0.757803316838633,0.2236111111111111,0.2326283757397075,0.062407871168790985,0.3848143510534312,7.375,1.9955307206712847,5.992167761440312,8.757832238559688,1.0,0.0,1.0,1.0,2.375,4.375,0.0,2.75,1.75,0.0,1.0,0.0
observational,4,pc,baseline,8,8,0,0.6541666666666666,0.08345229603962802,0.5963371759201626,0.7119961574131706,0.2,0.24348657927227588,0.03127240889528474,0.3687275911047153,5.25,1.2817398889233114,4.361799572168533,6.138200427831467,1.0,0.0,1.0,1.0,1.5,1.625,0.0,0.0,0.0,0.0,0.0,0.0
observational,5,llm_raw_obs,claude-sonnet-4-6,8,8,0,0.4881885553611224,0.09614098526907094,0.42156625158008065,0.5548108591421641,0.4012224187920782,0.12957865865816884,0.3114289895225151,0.49101584806164134,10.375,2.445841952609133,8.680117998207544,12.069882001792456,1.0,0.0,1.0,1.0,8.625,0.75,0.0,1.0,0.0,0.0,1.0,0.0
observational,5,llm_stats_obs,claude-sonnet-4-6,8,8,0,0.5505573062558357,0.07317347536748711,0.49985067483320544,0.6012639376784659,0.12040441176470588,0.2301142518298359,-0.03905662919350904,0.2798654527229208,15.125,5.462534733462636,11.33965655455149,18.91034344544851,1.0,0.0,1.0,1.0,1.875,11.5,0.0,1.625,0.625,0.0,1.0,0.0
observational,5,pc,baseline,8,8,0,0.4688061938061938,0.1305079435169929,0.37836880298380876,0.5592435846285789,0.03846153846153846,0.10878565864408424,-0.036923076923076927,0.11384615384615385,8.875,0.8345229603962802,8.296705092534959,9.453294907465041,1.0,0.0,1.0,1.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
